Id?empleado;Name;Apellido;birth_date;género;area;salary;star_date;finish_date;promotion_date;type
00-0037846;Kimmy;Walczynski;6/4/1991;hombre;Engineering;$ 77,72;1/20/2002;;;0
00-0041533;Ignatius;Springett;6/29/1984;hombre;Business Development;$ 135,19;4/8/2019;;;0
00-0045747;Corbie;Bittlestone;7/29/1989;hombre;Sales;$ 122,48;10/12/2010;;;1
00-0055274;Baxy;Matton;9/14/1982;mujer;Services;$ 82,10;4/10/2005;;;0
00-0076100;Terrell;Suff;4/11/1994;mujer;Product Management;$ 114,65;9/29/2010;2029-10-29 06:09:38 UTC;;1
00-0116166;Kacie;Offiler;1/18/1971;hombre;Engineering;$ 121,04;9/1/2018;;;0
00-0363185;Sandro;Admans;11/19/1979;hombre;Product Management;$ 174,20;11/8/2012;;;1
00-0380704;Eugene;Lehrahan;10/14/1988;mujer;Engineering;$ 66,03;6/27/2007;;;1
00-0381660;Wainwright;Corfield;12/13/1996;hombre;Engineering;$ 164,06;2/20/2001;2008-12-05 01:21:48 UTC;;0
00-0419202;Dyann;Isoldi;3/27/1980;hombre;Engineering;$ 135,54;1/27/2005;;;1
00-0472287;Grantley;Oret;9/6/1975;hombre;Services;$ 166,00;11/1/2004;;;1
00-0472832;Elmore;Worner;1/7/1966;mujer;Engineering;$ 117,57;12/5/2000;;;1
00-0566380;Dud;Brain;3/17/1984;hombre;Business Development;$ 150,24;9/17/2008;;;0
00-0571075;Aguie;Conford;11/2/1971;hombre;Business Development;$ 174,70;11/25/2015;;;1
00-0624189;Katerina;Rosborough;8/20/1967;hombre;Engineering;$ 124,80;5/17/2019;;;1
00-0715212;Alida;Longley;1/28/1973;mujer;Accounting;$ 156,90;2/4/2002;;;0
00-0755645;Laraine;Petre;5/11/1967;hombre;Engineering;$ 140,63;9/30/2010;;;1
00-0778934;Gareth;MacCook;2/21/1987;mujer;Legal;$ 107,74;2/18/2010;;;1
00-0794247;Scottie;Chestney;2/23/1972;mujer;Engineering;$ 90,32;7/3/2002;;;1
00-0948136;Christophorus;Boseley;5/23/1983;mujer;Marketing;$ 124,81;9/6/2007;;;1
00-0971612;Arleyne;Froome;8/1/1999;hombre;Engineering;$ 137,60;4/9/2015;;;1
00-1051096;Todd;Cashen;6/19/1999;mujer;Accounting;$ 115,70;6/20/2014;;;1
00-1052230;Elmo;McNee;12/16/1988;mujer;Services;$ 78,42;7/18/2002;2006-05-22 20:14:26 UTC;;1
00-1100714;Regen;Nafzger;4/6/1990;hombre;Human Resources;$ 164,37;7/23/2016;2022-07-12 02:26:01 UTC;;0
00-1147503;Penelope;Wenman;12/19/1994;hombre;Business Development;$ 154,94;9/10/2019;;;1
00-1189819;Rudolf;Reichardt;6/5/1979;hombre;Business Development;$ 97,13;5/7/2007;2022-02-25 03:21:03 UTC;;0
00-1222963;Tobiah;Fruchon;10/17/1991;mujer;Services;$ 138,76;2/13/2011;;;0
00-1268049;Fay;Monnelly;7/9/1966;hombre;Engineering;$ 111,99;2/24/2010;2030-03-21 03:56:25 UTC;;0
00-1277358;Lola;Burrells;10/2/1973;hombre;Human Resources;$ 132,41;3/8/2008;2024-10-09 10:07:08 UTC;;1
00-1284831;Hamel;Edgeler;12/22/1973;hombre;Human Resources;$ 152,26;8/8/2001;2007-10-31 20:13:44 UTC;;0
00-1331085;Shalne;Berntssen;5/20/1979;mujer;Business Development;$ 132,65;12/19/2008;;;1
00-1418617;Nefen;Russan;2/18/1997;mujer;Training;$ 120,83;1/21/2007;;;1
00-1451930;Woodie;Hayhow;1/18/1995;mujer;Engineering;$ 170,83;8/4/2001;;;1
00-1485605;"L;urette";Stango;4/13/1991;hombre;Training;$ 124,72;11/29/2016;;;0
00-1499371;Claude;Ales0;4/29/1984;mujer;Sales;$ 126,53;3/31/2014;;;1
00-1557949;Virginia;Teligin;12/25/1982;mujer;Engineering;$ 119,75;6/27/2014;;;0
00-1695354;Starr;Yitzhok;4/11/1998;mujer;Training;$ 99,04;7/14/2011;;;1
00-1722938;Perla;Durrand;3/11/1976;hombre;Sales;$ 178,81;1/1/2014;2023-01-10 00:20:48 UTC;;1
00-1728402;Mahala;McTrustie;6/7/1974;mujer;Business Development;$ 118,73;4/15/2015;;;0
00-1735797;Hobart;Bertrand;3/22/1997;mujer;Business Development;$ 129,61;9/17/2019;;;0
00-1792130;Nobe;Leathe;7/23/1993;hombre;Engineering;$ 174,05;1/23/2011;2024-12-07 02:16:22 UTC;;1
00-1830166;Peta;Gosson;6/2/1975;mujer;Human Resources;$ 146,25;6/2/2007;;;1
00-1861400;Ninnette;Batter;3/11/1993;hombre;Business Development;$ 152,35;2/4/2008;;;1
00-1877605;Bibbie;Matteoli;6/18/1997;hombre;Support;$ 74,63;5/5/2008;2024-03-02 16:38:02 UTC;;1
00-1892609;Averell;Paintain;10/25/1971;mujer;Research and Development;$ 118,94;1/2/2013;;;1
00-1954462;Marcel;Fowkes;6/18/1993;hombre;Accounting;$ 123,13;7/20/2008;;;1
00-1957612;Artus;Cawcutt;2/28/1970;mujer;Services;$ 110,28;7/8/2005;2012-08-01 16:03:54 UTC;;1
00-2010536;Emili;Cowl;5/10/1978;hombre;Engineering;$ 160,53;7/30/2009;;;0
00-2209303;Edeline;Painten;3/16/1978;hombre;Services;$ 172,42;1/17/2011;;;1
00-2228674;Meggi;Mc Ilory;9/9/1987;hombre;Training;$ 152,36;11/30/2005;;;1
00-2229651;Giordano;Muckian;8/21/1984;mujer;Business Development;$ 126,83;4/11/2004;;;0
00-2260658;Nickolas;Coopey;5/21/1978;hombre;Support;$ 135,19;1/2/2001;;;0
00-2301130;Corrina;Blooman;10/19/1971;mujer;Services;$ 155,22;7/28/2013;;;0
00-2334565;Odey;Brough;12/19/1992;hombre;Engineering;$ 143,82;8/27/2011;;;0
00-2367299;Lenka;Astridge;12/1/2000;hombre;Human Resources;$ 134,66;8/13/2019;;;0
00-2509034;Gunar;Dinkin;11/27/1988;hombre;Training;$ 109,09;12/19/2017;;;0
00-2607971;Gale;Dreossi;6/16/1972;hombre;Auditing;$ 74,12;2/2/2006;2018-07-01 03:10:13 UTC;;1
00-2623755;Chrysa;Brownell;4/25/1983;hombre;Engineering;$ 150,59;2/22/2018;2027-02-01 04:34:24 UTC;;1
00-2637590;Britte;Royds;3/6/1980;hombre;Training;$ 84,34;5/5/2016;;;0
00-2682864;Bil;Wanden;6/28/1982;hombre;Engineering;$ 101,51;2/24/2009;;;1
00-2704725;Ronda;Dictus;11/28/1975;mujer;Training;$ 139,26;12/7/2003;;;1
00-2709445;Loree;Neno;1/16/1977;mujer;Research and Development;$ 87,40;4/26/2017;;;0
00-2773154;Teena;Tolan;9/11/1992;hombre;Human Resources;$ 88,85;2/11/2014;;;1
00-2861998;Karine;Seage;9/7/1966;hombre;Training;$ 112,03;8/12/2017;;;1
00-2874422;Diandra;Bourget;4/6/1971;hombre;Human Resources;$ 134,00;7/26/2003;2015-01-14 06:02:41 UTC;;1
00-2889513;Dodi;Caves;7/5/1999;hombre;Business Development;$ 85,94;11/16/2004;;;0
00-2950779;Hyman;Dancey;4/23/1981;mujer;Training;$ 179,50;6/10/2015;;;0
00-3008455;Rourke;Dawkins;9/26/1969;hombre;Business Development;$ 81,07;10/28/2007;;;0
00-3020430;Northrup;Arendt;12/1/2001;hombre;Services;$ 181,27;9/6/2011;;;0
00-3030708;Guntar;Arro;4/22/1997;mujer;Business Development;$ 147,37;11/16/2020;;;1
00-3052411;Midge;Orpyne;1/4/1984;mujer;Engineering;$ 121,89;7/21/2010;;;0
00-3105004;Isador;Crady;6/8/1968;mujer;Training;$ 171,87;11/19/2020;;;1
00-3135807;Nichol;Dionisii;8/28/1994;mujer;Business Development;$ 153,74;2/19/2017;;;1
00-3138749;Dorey;Diperaus;12/20/1978;hombre;Sales;$ 80,91;4/6/2006;;;1
00-3208324;Lanie;Plewes;7/25/1992;mujer;Support;$ 103,46;3/1/2008;;;0
00-3214670;Mahmoud;De L'Isle;9/4/1990;hombre;Accounting;$ 97,53;3/6/2010;;;0
00-3217869;Carlynne;Gouldthorpe;4/11/1968;mujer;Accounting;$ 93,77;8/17/2009;;;1
00-3334414;Modesta;Lanktree;2/13/1997;mujer;Engineering;$ 118,41;4/30/2002;;;0
00-3341718;Tildie;Ranvoise;8/13/1982;hombre;Engineering;$ 92,90;8/21/2007;;;1
00-3389894;Tallulah;Dowty;1/26/1983;hombre;Engineering;$ 75,08;2/2/2006;;;1
00-3402094;Addie;Coldman;7/10/2002;mujer;Engineering;$ 184,33;9/25/2011;;;0
00-3457300;Eleanore;Pudner;12/13/1996;mujer;Engineering;$ 114,51;2/28/2002;;;1
00-3492248;Carlene;Goldwater;1/19/1975;mujer;Business Development;$ 66,76;2/25/2019;;;0
00-3597335;Amara;Jacobs;6/14/1982;hombre;Sales;$ 86,75;2/7/2006;;;1
00-3679205;Heall;Conville;5/8/1994;hombre;Training;$ 93,62;11/12/2010;;;1
00-3739286;Jake;Dawdry;2/26/1993;hombre;Engineering;$ 147,46;9/30/2019;;;0
00-3744044;Maribelle;Bisson;6/22/1998;mujer;Training;$ 108,54;1/21/2016;;;0
00-3758963;Calypso;Connold;9/27/1984;mujer;Business Development;$ 131,43;11/22/2001;;;0
00-3855769;Tanitansy;Fancett;5/30/1995;mujer;Human Resources;$ 90,35;10/31/2005;;;0
00-3860994;Allyce;Giacobazzi;4/4/1969;hombre;Marketing;$ 100,94;12/27/2019;2022-12-26 02:31:43 UTC;;1
00-3961040;Filberte;Morant;10/27/1977;hombre;Engineering;$ 180,38;3/6/2002;;;0
00-3964552;Sergei;Glidden;2/15/1996;hombre;Product Management;$ 101,91;11/4/2016;;;0
00-3987484;Chelsy;Clacey;9/12/1991;mujer;Training;$ 104,21;1/30/2006;2021-07-23 05:08:46 UTC;;0
00-4123013;Romy;Sandever;1/20/1969;hombre;Research and Development;$ 159,71;8/12/2011;;;1
00-4202411;Rorie;Rice;3/13/1982;hombre;Engineering;$ 114,68;7/16/2014;;;0
00-4254147;Karel;Gullen;12/18/1993;hombre;Sales;$ 95,32;3/8/2013;;;0
00-4259069;Marcela;Bostock;1/9/1979;hombre;Engineering;$ 76,59;1/1/2005;;;0
00-4464648;Agretha;Brunning;2/15/1978;mujer;Engineering;$ 105,64;4/28/2017;;;1
00-4481784;Willdon;Pirozzi;3/28/1997;mujer;Support;$ 125,64;3/12/2016;;;0
00-4521988;Paddie;Mallebone;11/22/1967;hombre;Human Resources;$ 165,02;7/4/2016;;;1
00-4585118;Karina;Slocum;9/19/1993;mujer;Services;$ 91,54;12/23/2018;;;0
00-4609499;Gun;Heathorn;10/30/1978;hombre;Services;$ 119,01;12/25/2015;;;0
00-4634919;Dario;Renshall;1/7/1971;mujer;Accounting;$ 176,95;4/10/2011;;;0
00-4767568;Bartholemy;Schutter;9/27/1975;hombre;Services;$ 109,28;7/6/2009;;;1
00-4872960;Gamaliel;McRoberts;11/10/1978;hombre;Accounting;$ 169,54;12/30/2019;;;1
00-4890880;Demetre;Chaulk;3/20/1977;hombre;Sales;$ 178,59;3/5/2014;;;1
00-4971801;Temple;Banasevich;5/14/1991;mujer;Engineering;$ 131,36;10/11/2020;;;0
00-5033764;Gabie;Olivier;12/25/1976;hombre;Engineering;$ 155,03;6/23/2005;;;0
00-5045552;Carlen;Bruhnke;8/6/1990;hombre;Engineering;$ 119,19;7/18/2016;;;1
00-5070457;Nathaniel;Coolahan;12/2/1998;mujer;Accounting;$ 84,68;7/22/2003;;;1
00-5137192;Sarajane;Price;1/28/1970;hombre;Accounting;$ 180,40;5/24/2016;;;0
00-5155617;Hadria;Pallasch;4/13/1987;hombre;Engineering;$ 98,28;12/2/2016;;;0
00-5175297;Bethina;Mathissen;1/24/1966;mujer;Engineering;$ 154,16;12/23/2001;2012-03-28 19:48:37 UTC;;0
00-5221572;Joshua;Rubinsohn;4/5/1976;hombre;Services;$ 180,11;7/12/2006;;;0
00-5273292;Philippa;Garrod;9/14/1986;mujer;Product Management;$ 110,78;3/29/2012;;;0
00-5421994;Sile;Schultheiss;1/23/1986;mujer;Accounting;$ 103,29;12/10/2012;2021-10-28 00:45:49 UTC;;1
00-5614221;Conroy;Vickars;8/28/1969;hombre;Business Development;$ 153,51;1/3/2008;;;0
00-5623981;Roscoe;Swindells;4/28/1979;mujer;Accounting;$ 174,12;12/22/2012;;;0
00-5649238;Antonietta;Obal;11/3/1977;hombre;Engineering;$ 173,69;2/13/2003;2008-06-24 19:59:00 UTC;;1
00-5687686;Yettie;Swanborough;7/3/1993;hombre;Sales;$ 98,04;3/22/2001;;;0
00-5880378;Dannie;Thornton-Dewhirst;10/18/2000;mujer;Accounting;$ 151,42;12/12/2002;2019-05-30 07:37:54 UTC;;1
00-5895027;Nessy;Shute;4/5/1982;hombre;Engineering;$ 100,07;4/13/2004;;;1
00-5909899;Louise;Domingues;4/26/1977;hombre;Research and Development;$ 102,87;4/5/2014;;;1
00-5917185;Frasquito;Frape;8/2/1972;hombre;Engineering;$ 125,07;6/29/2002;2012-08-16 08:21:32 UTC;;1
00-5955583;Leonie;Bridgeman;11/17/1997;hombre;Training;$ 92,38;4/11/2009;;;1
00-5958157;Marijn;Shotboulte;7/11/1984;hombre;Accounting;$ 84,98;9/16/2017;;;1
00-5965019;Gertrud;Jeavon;6/11/1987;mujer;Research and Development;$ 141,44;3/14/2008;;;1
00-5992394;Gordie;Mariaud;7/24/1990;hombre;Accounting;$ 121,78;5/29/2011;;;0
00-5993032;Corrinne;Very;5/27/1991;hombre;Research and Development;$ 86,66;6/21/2005;2015-03-23 18:00:04 UTC;;0
00-6077710;Frank;Sikorsky;2/10/1998;hombre;Engineering;$ 77,95;8/1/2007;;;0
00-6093562;Linoel;Berrecloth;7/19/1973;hombre;Engineering;$ 141,15;11/6/2006;;;0
00-6114236;Lucias;Sworder;3/1/1997;hombre;Engineering;$ 167,13;10/31/2007;;;0
00-6163624;Malvina;Mc Grath;9/12/2001;hombre;Engineering;$ 129,92;5/17/2005;2009-11-03 01:38:32 UTC;;0
00-6172539;Joanne;Jacob;4/13/1974;mujer;Engineering;$ 106,65;2/3/2003;;;1
00-6252646;Yves;Yurivtsev;9/19/1990;hombre;Human Resources;$ 179,94;7/13/2019;;;1
00-6338870;Curtice;Kidgell;3/14/1980;mujer;Engineering;$ 67,62;3/18/2018;2023-03-24 22:54:39 UTC;;1
00-6371948;Ruby;O'Duilleain;5/10/1986;mujer;Business Development;$ 139,31;9/7/2008;2012-01-09 20:55:22 UTC;;1
00-6420231;Joseito;Walaron;5/16/1975;hombre;Services;$ 182,32;11/2/2006;;;1
